Transaction,Type,Currency,Amount,USD Equivalent,Details,Outstanding Loan,Date / Time
XZY100,Deposit,ETH,1,$975, approved / 0x819e49318733b743c3b683ce96e737615056e1a78a7262f6d54ceee16608a2f2,$0,2021-01-01 07:00:08
XZY101,Interest,ETH,0.2,$4, approved /  xyz,$0,2021-01-02 07:00:08
XZY102,Interest,ETH,0.3,$6, approved /  xyz,$0,2021-01-03 07:00:08
XZY103,Interest,ETH,0.4,$5, approved /  xyz,$0,2021-01-04 07:00:08
XZY104,Interest,ETH,0.5,$7, approved /  xyz,$0,2021-01-05 07:00:08
XZY105,Interest,ETH,0.6,$3, approved /  xyz,$0,2021-01-06 07:00:08
XZY106,Interest,NEXONEXO,0.7,$5, approved /  xyz,$0,2021-01-07 07:00:08
XZY107,Interest,NEXONEXO,0.8,$7, approved /  xyz,$0,2021-01-08 07:00:08
XZY108,Interest,NEXONEXO,0.9,$4, approved /  xyz,$0,2021-01-09 07:00:08
XZY109,Interest,NEXONEXO,0.10,$6, approved /  xyz,$0,2021-01-10 07:00:08
XZY110,Deposit,EUR,2000,$2253, approved /  xyz,$0,2021-01-11 07:00:08
XZY111,Interest,NEXONEXO,0.10,$4, approved /  xyz,$0,2021-01-12 07:00:08
XZY112,Interest,NEXONEXO,0.11,$6, approved /  xyz,$0,2021-01-13 07:00:08
XZY113,Interest,NEXONEXO,0.12,$5, approved /  xyz,$0,2021-01-14 07:00:08
XZY114,Interest,NEXONEXO,0.13,$7, approved /  xyz,$0,2021-01-15 07:00:08
XZY115,Interest,NEXONEXO,0.14,$3, approved /  xyz,$0,2021-01-16 07:00:08
XZY116,Interest,NEXONEXO,0.15,$5, approved /  xyz,$0,2021-01-17 07:00:08
XZY117,Interest,NEXONEXO,0.16,$7, approved /  xyz,$0,2021-01-18 07:00:08
XZY118,Interest,NEXONEXO,0.17,$4, approved /  xyz,$0,2021-01-19 07:00:08
XZY119,Interest,NEXONEXO,0.18,$6, approved /  xyz,$0,2021-01-20 07:00:08
XZY120,Deposit,BTC,0.1,$3600, approved /  19d2b7e5a9083547e2948daf8f36312d652bd32187c281e41959899b1fea199a,$0,2021-01-21 07:00:08
XZY121,Interest,BTC,0.002,$4, approved /  xyz,$0,2021-01-22 07:00:08
XZY122,Interest,BTC,0.003,$6, approved /  xyz,$0,2021-01-23 07:00:08
XZY123,Interest,BTC,0.004,$5, approved /  xyz,$0,2021-01-24 07:00:08
XZY124,Interest,BTC,0.005,$7, approved /  xyz,$0,2021-01-25 07:00:08
XZY125,Interest,BTC,0.006,$3, approved /  xyz,$0,2021-01-26 07:00:08
XZY126,Interest,NEXONEXO,0.23,$5, approved /  xyz,$0,2021-01-27 07:00:08
XZY127,Interest,NEXONEXO,0.24,$7, approved /  xyz,$0,2021-01-28 07:00:08
XZY128,Interest,NEXONEXO,0.25,$4, approved /  xyz,$0,2021-01-29 07:00:08
XZY129,Interest,NEXONEXO,0.26,$6, approved /  xyz,$0,2021-01-30 07:00:08
XZY130,Deposit,NEXO,5000,$2500, approved /  0x819e49318733b743c3b683ce96e737615056e1a78a7262f6d54ceee16608a2f2,$0,2021-01-31 07:00:08
XZY131,Interest,NEXONEXO,0.11,$4, approved /  xyz,$0,2021-02-01 07:00:08
XZY132,Interest,NEXONEXO,0.12,$6, approved /  xyz,$0,2021-02-02 07:00:08
XZY133,Interest,NEXONEXO,0.13,$5, approved /  xyz,$0,2021-02-03 07:00:08
XZY134,Interest,NEXONEXO,0.14,$7, approved /  xyz,$0,2021-02-04 07:00:08
XZY135,Interest,NEXONEXO,0.15,$3, approved /  xyz,$0,2021-02-05 07:00:08
XZY136,Interest,NEXONEXO,0.16,$5, approved /  xyz,$0,2021-02-06 07:00:08
XZY137,Interest,NEXONEXO,0.17,$7, approved /  xyz,$0,2021-02-07 07:00:08
XZY138,Interest,NEXONEXO,0.18,$4, approved /  xyz,$0,2021-02-08 07:00:08
XZY139,Interest,NEXONEXO,0.19,$6, approved /  xyz,$0,2021-02-09 07:00:08
XZY140,Withdrawal,EUR,500,$563, approved /  xyz,$0,2021-02-10 07:00:08
XZY141,Interest,NEXONEXO,0.26,$4, approved /  xyz,$0,2021-02-11 07:00:08
XZY142,Interest,NEXONEXO,0.27,$6, approved /  xyz,$0,2021-02-12 07:00:08
XZY143,Interest,NEXONEXO,0.28,$5, approved /  xyz,$0,2021-02-13 07:00:08
XZY144,Interest,NEXONEXO,0.29,$7, approved /  xyz,$0,2021-02-14 07:00:08
XZY145,Interest,NEXONEXO,0.30,$3, approved /  xyz,$0,2021-02-15 07:00:08 
XZY146,Interest,NEXONEXO,0.31,$5, approved /  xyz,$0,2021-02-16 07:00:08
XZY147,Interest,NEXONEXO,0.32,$7, approved /  xyz,$0,2021-02-17 07:00:08
XZY148,Interest,NEXONEXO,0.33,$4, approved /  xyz,$0,2021-02-18 07:00:08
XZY149,Interest,NEXONEXO,0.34,$6, approved /  xyz,$0,2021-02-19 07:00:08
XZY150,Withdrawal,EUR,250,$276, approved /  xyz,$0,2021-02-20 07:00:08
XZY151,Interest,NEXONEXO,0.1,$4, approved /  xyz,$0,2021-02-21 07:00:08
XZY152,Interest,NEXONEXO,0.2,$6, approved /  xyz,$0,2021-02-22 07:00:08 
XZY153,Interest,NEXONEXO,0.3,$5, approved /  xyz,$0,2021-02-23 07:00:08
XZY154,Interest,NEXONEXO,0.4,$7, approved /  xyz,$0,2021-02-24 07:00:08
XZY155,Interest,NEXONEXO,0.5,$3, approved /  xyz,$0,2021-02-25 07:00:08
XZY156,Interest,NEXONEXO,0.6,$5, approved /  xyz,$0,2021-02-26 07:00:08
XZY157,Interest,NEXONEXO,0.7,$7, approved /  xyz,$0,2021-02-27 07:00:08
XZY158,Interest,NEXONEXO,0.8,$4, approved /  xyz,$0,2021-02-28 07:00:08
XZY159,Interest,NEXONEXO,0.9,$6, approved /  xyz,$0,2021-03-01 07:00:08
