Transaction,Type,Credit Line,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXTBDOAxcrs06VkYVlL6uSpG5lK6gW,Transfer In,,ETH,0.67507257,ETH,0.67507257,$2025.22,-,-,"approved / Transfer from Credit Line Wallet to Savings Wallet",2026-09-07 00:00:00
NXTypn1OgtBlXIiiELdIP7MS3xPGj,Interest,,BTC,0.00023747,BTC,0.00023747,$17.95,-,-,"approved / BTC Interest Earned",2026-08-29 06:00:00
NXTKnH3ltRzUcu5lNNYI11t7c,Interest,,ETH,0.00378714,ETH,0.00378714,$13.14,-,-,"approved / ETH Interest Earned",2026-08-29 06:00:00
NXTqE7KIDMDrV4Nw3fRIw4B51Vxls,Interest,,NEXO,1.98545746,NEXO,1.98545746,$1.85,-,-,"approved / NEXO Interest Earned",2026-08-29 06:00:00
NXThQofCpO4bfGC9B08WCeb,Interest,,XRP,0.34137667,XRP,0.34137667,$0.77,-,-,"approved / XRP Interest Earned",2026-08-29 06:00:00
NXToMVsYt89KmRm5fvwjfTBkuMt5bJ,Interest,,LINK,0.20464501,LINK,0.20464501,$4.97,-,-,"approved / LINK Interest Earned",2026-08-29 06:00:00
NXTk6x6GUNoO0hUr9KlLvBhPu,Interest,,DOGE,4.65099311,DOGE,4.65099311,$1.75,-,-,"approved / DOGE Interest Earned",2026-08-29 06:00:00
NXTVO7YjTwMWOqdZAhsXWUXZ6xJvdq3,Interest,,SOL,0.03765908,SOL,0.03765908,$5.02,-,-,"approved / SOL Interest Earned",2026-08-29 06:00:00
NXTFyahUQKB6ND8i6xDPlmYgb,Interest,,ADA,0.62270213,ADA,0.62270213,$0.55,-,-,"approved / ADA Interest Earned",2026-08-29 06:00:00
NXTT6mmXupCVreLwSg7QzUNWxh,Transfer In,,ETH,0.72347426,ETH,0.72347426,$2170.42,-,-,"approved / Transfer from Credit Line Wallet to Savings Wallet",2026-08-29 00:00:00
NXTdb8pAyMptX3FHY0XcScMk1xXpqz6w,Interest,,BTC,0.00040606,BTC,0.00040606,$26.95,-,-,"approved / BTC Interest Earned",2026-08-28 06:00:00
NXTgKytEfqV3drVNhaMaAhRInwAy,Interest,,ETH,0.00131848,ETH,0.00131848,$3.47,-,-,"approved / ETH Interest Earned",2026-08-28 06:00:00
NXTJfqG3drV7z70wd52jRz70ht7Qpxg,Interest,,NEXO,1.49261106,NEXO,1.49261106,$1.76,-,-,"approved / NEXO Interest Earned",2026-08-28 06:00:00
NXTcVwxlnWG02zniGjQxdhtDOxLT,Interest,,XRP,0.26811757,XRP,0.26811757,$0.22,-,-,"approved / XRP Interest Earned",2026-08-28 06:00:00
NXTW3QOXKCtsqxBWDoew9EndTXA1DB7C,Interest,,LINK,0.18358038,LINK,0.18358038,$2.24,-,-,"approved / LINK Interest Earned",2026-08-28 06:00:00
NXTyXZETkEAdT2hpbp68aFPBckg5nK2Aj,Interest,,DOGE,0.78570225,DOGE,0.78570225,$0.12,-,-,"approved / DOGE Interest Earned",2026-08-28 06:00:00
